kegg,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K13247,3073.109783,-8.987361275,1.738498739,-5.169610464,2.35E-07,7.40E-06
K03010,1373.122161,-12.16129823,2.352598006,-5.169305676,2.35E-07,7.40E-06
K13239,306.3496469,-10.95937424,2.123262604,-5.161572675,2.45E-07,7.67E-06
K02386,237.4041658,6.958730576,1.348516126,5.160287255,2.47E-07,7.69E-06
K11984,1341.704269,-7.855478447,1.523183666,-5.157275923,2.51E-07,7.78E-06
K04073,249.3235976,-8.020056061,1.556283013,-5.153340361,2.56E-07,7.91E-06
K09602,1228.069824,-7.074401981,1.378847539,-5.13066295,2.89E-07,8.88E-06
K09220,1322.706152,-7.92533379,1.546988288,-5.12307291,3.01E-07,9.21E-06
K10111,1273.477254,-10.33810318,2.022329713,-5.111977098,3.19E-07,9.72E-06
K11380,714.711292,-9.574014936,1.879085215,-5.09504032,3.49E-07,1.06E-05
K17534,1096.759787,-12.79932391,2.514741732,-5.089717067,3.59E-07,1.08E-05
K18903,585.4103871,13.33471556,2.62304096,5.083685601,3.70E-07,1.11E-05
K03165,888.4917203,-12.49550113,2.459072508,-5.081387838,3.75E-07,1.12E-05
K05653,937.4202033,-9.972426264,1.964390716,-5.076600181,3.84E-07,1.15E-05
K16725,2556.570076,-13.30243145,2.62676897,-5.064180216,4.10E-07,1.22E-05
K01672,520.7276857,-10.76230885,2.133590958,-5.044223125,4.55E-07,1.35E-05
K09805,213.1011559,7.868362999,1.560240711,5.043044286,4.58E-07,1.35E-05
K18148,628.4483703,8.137899705,1.61500524,5.038930836,4.68E-07,1.37E-05
K14011,2143.562583,-8.149410328,1.62409016,-5.017831232,5.23E-07,1.52E-05
K03314,261.3626335,12.17151104,2.425726686,5.017676194,5.23E-07,1.52E-05
K14621,472.7214493,-11.58517414,2.30968881,-5.015902616,5.28E-07,1.53E-05
K11483,196.8616752,11.76253516,2.346743141,5.012280618,5.38E-07,1.55E-05
K13699,521.144109,-8.326851396,1.664221485,-5.003451447,5.63E-07,1.62E-05
K15198,495.987614,-11.65448286,2.3311206,-4.999519484,5.75E-07,1.64E-05
K07486,25345.0764,2.061795494,0.412661217,4.996339395,5.84E-07,1.66E-05
K09045,301.9288566,-9.975523774,2.003768659,-4.978380977,6.41E-07,1.81E-05
K01203,1140.428701,-12.8556459,2.582393065,-4.978190993,6.42E-07,1.81E-05
K17229,259.9794508,12.16383842,2.443690148,4.977651699,6.44E-07,1.81E-05
K12571,466.7989365,-6.463835508,1.299216223,-4.975180723,6.52E-07,1.82E-05
K17452,482.7980884,-11.61558603,2.33786517,-4.968458481,6.75E-07,1.88E-05
K11839,798.9381132,-12.34224292,2.485644387,-4.965409768,6.86E-07,1.90E-05
K15258,4054.631757,-5.792324019,1.167685891,-4.96051555,7.03E-07,1.94E-05
K06880,943.5785658,5.330099367,1.075369188,4.956529743,7.18E-07,1.98E-05
K15686,663.618086,-9.893901896,1.996887393,-4.954661906,7.25E-07,1.99E-05
K10537,354.2755663,6.459356041,1.307297201,4.941000436,7.77E-07,2.12E-05
K15379,2980.022271,-11.33549693,2.294203352,-4.94092946,7.78E-07,2.12E-05
K07557,185.5476244,11.67710538,2.366269427,4.934816487,8.02E-07,2.17E-05
K18060,250.9183215,-9.708293094,1.969125718,-4.930255598,8.21E-07,2.22E-05
K10758,854.5893444,-9.284656832,1.884817108,-4.926025338,8.39E-07,2.26E-05
K13515,653.9781933,-9.369805151,1.910352361,-4.904752306,9.35E-07,2.51E-05
K18420,1022.57298,-8.273093068,1.687533673,-4.902475845,9.46E-07,2.52E-05
K02677,455.4804823,-8.380507496,1.709469207,-4.902403309,9.47E-07,2.52E-05
K11180,971.8224908,4.285911715,0.875041891,4.897950326,9.68E-07,2.56E-05
K00368,258.2509916,12.15406351,2.485068821,4.890835783,1.00E-06,2.65E-05
K07067,324.0221694,12.48088592,2.552555006,4.889565901,1.01E-06,2.66E-05
K11423,1808.099509,-6.798355475,1.391872136,-4.884324714,1.04E-06,2.71E-05
K05725,822.693888,-7.903298319,1.618304122,-4.883691645,1.04E-06,2.71E-05
K05857,339.1467157,-7.351012507,1.506387385,-4.879895159,1.06E-06,2.76E-05
K14990,738.0216096,-11.26519148,2.309931819,-4.876850214,1.08E-06,2.79E-05
K19591,17300.58502,-2.189263844,0.449010424,-4.875752828,1.08E-06,2.79E-05
K06504,1079.058063,9.4706894,1.942467476,4.875597414,1.08E-06,2.79E-05
K08881,542.1301922,-10.09409326,2.071405349,-4.87306517,1.10E-06,2.81E-05
K01110,500.9667582,-5.321128745,1.100046042,-4.837187301,1.32E-06,3.36E-05
K19513,646.1311739,-9.083224657,1.879783971,-4.832057725,1.35E-06,3.43E-05
K19413,1238.509201,-10.7079314,2.217437906,-4.828965612,1.37E-06,3.47E-05
K09037,359.7465457,-4.287424483,0.888741888,-4.824150341,1.41E-06,3.53E-05
K02884,59778.47808,1.17216024,0.243008977,4.8235265,1.41E-06,3.53E-05
K15018,1167.814903,-10.33020842,2.14183646,-4.823061245,1.41E-06,3.53E-05
K18831,29024.00373,1.762815021,0.365506429,4.82293848,1.41E-06,3.53E-05
K18757,1669.907377,-7.212593398,1.497096498,-4.817721107,1.45E-06,3.60E-05
K15915,1293.518165,5.818673385,1.207909845,4.817142116,1.46E-06,3.60E-05
K10419,1724.280116,6.961516645,1.445368768,4.816429413,1.46E-06,3.60E-05
K14007,1226.92366,-5.010862428,1.040593562,-4.81538865,1.47E-06,3.61E-05
K12482,668.6292423,-9.457613828,1.964878859,-4.813331766,1.48E-06,3.63E-05
K02481,5779.50806,2.101938838,0.436917683,4.810834906,1.50E-06,3.67E-05
K04440,1455.534874,-10.34210488,2.150577396,-4.808989858,1.52E-06,3.68E-05
K18270,578.6042241,-8.332387834,1.732781638,-4.808677359,1.52E-06,3.68E-05
K09985,1048.783396,14.17571524,2.949727725,4.805770758,1.54E-06,3.72E-05
K17700,615.3748042,-9.754543655,2.030437328,-4.804158947,1.55E-06,3.74E-05
K06547,1942.614962,-8.424721111,1.755512464,-4.799009568,1.59E-06,3.82E-05
K09575,1140.749598,-9.392694557,1.958420575,-4.796055901,1.62E-06,3.87E-05
K14079,2961.336776,-9.828078583,2.05143407,-4.790833266,1.66E-06,3.95E-05
K03478,2713.127853,-2.41797275,0.5058224,-4.780280095,1.75E-06,4.15E-05
K04992,808.992361,-10.08794303,2.112706866,-4.774890066,1.80E-06,4.25E-05
K12950,1413.530991,-3.189724687,0.669100252,-4.767185002,1.87E-06,4.40E-05
K00631,185.2141945,11.6746426,2.451916323,4.761435981,1.92E-06,4.51E-05
K02211,1362.918899,-6.826724056,1.43922551,-4.743331749,2.10E-06,4.92E-05
K08887,501.185227,-7.416065553,1.566088592,-4.735406153,2.19E-06,5.10E-05
K11447,448.648448,-11.5097514,2.444367264,-4.708683337,2.49E-06,5.79E-05
K08076,240.0897131,-5.814431668,1.234983061,-4.70810641,2.50E-06,5.79E-05
K05673,418.9249969,-11.41084887,2.425879996,-4.70379775,2.55E-06,5.89E-05
K03089,213.011948,8.17367191,1.737981981,4.702967003,2.56E-06,5.90E-05
K16846,332.4005453,12.51769369,2.662560271,4.701374775,2.58E-06,5.92E-05
K01684,2816.874465,-2.660536688,0.566420842,-4.697102387,2.64E-06,6.01E-05
K17601,365.2401037,-6.82999122,1.454115545,-4.697007225,2.64E-06,6.01E-05
K17499,692.4926271,-9.002991736,1.921415956,-4.68560267,2.79E-06,6.33E-05
K09793,544.0622361,3.364341597,0.718175096,4.684570119,2.81E-06,6.35E-05
K09292,578.7232316,-8.079794053,1.725291002,-4.683148551,2.83E-06,6.37E-05
K18212,232.9548477,-8.864145257,1.893133282,-4.682261593,2.84E-06,6.38E-05
K08034,510.9303988,-9.934397481,2.122858208,-4.679727286,2.87E-06,6.43E-05
K12492,771.9434993,-7.17034199,1.539458512,-4.657703947,3.20E-06,7.14E-05
K09850,1036.568216,-7.855417325,1.690019882,-4.648121249,3.35E-06,7.45E-05
K03579,222.9384994,11.94213588,2.572525469,4.64218373,3.45E-06,7.62E-05
K05120,292.935483,12.33599636,2.657416213,4.642101714,3.45E-06,7.62E-05
K12949,382.5123825,-6.179273833,1.331913782,-4.639394769,3.49E-06,7.70E-05
K07955,539.3409808,-9.499026645,2.048796256,-4.636393988,3.55E-06,7.79E-05
K15181,210.1001366,-7.172942983,1.547847412,-4.634140891,3.58E-06,7.83E-05
K14466,513.704617,-9.131085718,1.970507965,-4.633874046,3.59E-06,7.83E-05
K15622,412.251066,-11.38766482,2.460834505,-4.627562234,3.70E-06,8.05E-05
K09214,642.5854291,-8.835164835,1.909757024,-4.626329278,3.72E-06,8.07E-05
K07616,386.1237319,-11.29322413,2.444366945,-4.620101803,3.84E-06,8.28E-05
K10589,445.6949257,-8.612107493,1.864179976,-4.619783286,3.84E-06,8.28E-05
K03514,570.1889211,-8.547817603,1.853613505,-4.611434682,4.00E-06,8.59E-05
K10387,328.200028,-11.05873195,2.399073019,-4.609585396,4.03E-06,8.64E-05
K01974,601.0538811,-7.803030039,1.693632123,-4.60727565,4.08E-06,8.71E-05
K12830,273.2132651,-8.123858061,1.763526681,-4.606597762,4.09E-06,8.71E-05
K15609,795.8306447,-9.128703848,1.98290359,-4.603705342,4.15E-06,8.80E-05
K13203,2573.962856,-5.980722303,1.299378673,-4.602755475,4.17E-06,8.82E-05
K19027,600.6504497,-8.460478525,1.838689689,-4.601362902,4.20E-06,8.85E-05
K09955,15458.75011,2.302448915,0.500731952,4.598166558,4.26E-06,8.96E-05
K05058,577.9438054,-9.704323889,2.111877024,-4.595117887,4.33E-06,9.05E-05
K16604,518.7369352,-11.71915259,2.55054765,-4.594759321,4.33E-06,9.05E-05
K11221,444.8431082,-8.588131469,1.870183461,-4.592133152,4.39E-06,9.12E-05
K11853,4060.926453,-5.788687423,1.26062303,-4.591925804,4.39E-06,9.12E-05
K13836,2475.885019,3.514090814,0.765411661,4.591112196,4.41E-06,9.13E-05
K16961,933.2393735,-7.063129072,1.540080966,-4.586206327,4.51E-06,9.32E-05
K13988,283.4024978,-7.858849578,1.715739288,-4.580445077,4.64E-06,9.55E-05
